,datetime,source,MW
332,2016-11-03 05:47:17,Both,0.56
333,2016-11-03 05:50:23,Both,0.17
334,2016-11-03 05:59:45,Both,0.19
335,2016-11-03 06:19:03,Both,0.19
336,2016-11-03 06:22:52,Both,0.38
337,2016-11-03 06:29:07,Both,-0.05
338,2016-11-03 06:29:58,Both,0.07
339,2016-11-03 06:36:36,Both,0.19
340,2016-11-03 06:46:38,Both,0.07
341,2016-11-03 06:56:46,Both,0.1
342,2016-11-03 07:02:15,Both,0.21
343,2016-11-03 07:10:12,Both,0.03
344,2016-11-03 07:16:41,Both,0.29
345,2016-11-03 07:26:39,Both,0.29
346,2016-11-03 07:32:07,Both,0.18
347,2016-11-03 07:38:22,Both,-0.02
348,2016-11-03 07:43:49,Both,0.36
349,2016-11-03 07:55:42,Both,-0.01
350,2016-11-03 08:15:43,Both,0.23
351,2016-11-03 08:17:15,Both,0.12
352,2016-11-03 08:20:39,Both,0.25
353,2016-11-03 08:25:52,Both,0.36
354,2016-11-03 08:32:56,Both,0.41
355,2016-11-03 08:36:25,Both,0.34
356,2016-11-03 08:36:45,Both,0.19
357,2016-11-03 08:38:55,Both,0.26
358,2016-11-03 08:39:19,Both,0.51
359,2016-11-03 08:41:34,Both,0.59
360,2016-11-03 08:42:21,Both,0.15
361,2016-11-03 08:45:26,Both,0.61
362,2016-11-03 08:47:26,Both,0.42
363,2016-11-03 08:50:50,Both,0.32
364,2016-11-03 08:52:33,Both,0.31
365,2016-11-03 08:56:30,Both,0.38
366,2016-11-03 08:58:39,Both,0.54
367,2016-11-03 09:02:36,Both,0.79
368,2016-11-03 09:11:02,Both,0.3
369,2016-11-03 09:13:24,Both,0.71
370,2016-11-03 09:17:14,Both,0.47
371,2016-11-03 09:21:30,Both,0.29
372,2016-11-03 09:23:14,Both,0.77
373,2016-11-03 09:27:09,Both,0.33
374,2016-11-03 09:31:05,Both,0.56
375,2016-11-03 09:37:37,Both,0.68
376,2016-11-03 09:44:38,Both,-0.01
377,2016-11-03 09:45:41,Both,0.54
378,2016-11-03 09:49:51,Both,0.59
379,2016-11-03 09:54:17,Both,0.47
380,2016-11-03 09:59:06,Both,0.67
381,2016-11-03 10:05:37,Both,0.46
382,2016-11-03 10:08:59,Both,0.66
383,2016-11-03 10:14:57,Both,0.42
384,2016-11-03 10:18:47,Both,0.65
385,2016-11-03 10:22:11,Both,0.44
386,2016-11-03 10:33:24,Both,0.37
387,2016-11-03 10:39:25,Both,0.8
388,2016-11-03 10:56:07,Both,0.53
389,2016-11-03 10:57:51,Both,0.56
390,2016-11-03 11:05:56,Both,0.0
391,2016-11-03 11:09:16,Both,0.19
392,2016-11-03 11:11:56,Both,0.31
393,2016-11-03 11:15:08,Both,0.54
394,2016-11-03 11:21:40,Both,0.3
395,2016-11-03 11:31:34,Both,0.18
396,2016-11-03 11:34:26,Both,0.72
397,2016-11-03 11:35:47,Both,0.2
398,2016-11-03 11:40:46,Both,0.42
399,2016-11-03 11:50:55,Both,0.18
400,2016-11-03 11:52:08,Both,0.14
401,2016-11-03 11:59:21,Both,0.26
402,2016-11-03 12:04:14,Both,0.2
403,2016-11-03 12:10:52,Both,0.1
404,2016-11-03 12:11:01,Both,0.13
405,2016-11-03 12:14:37,Both,0.17
406,2016-11-03 12:17:51,Both,-0.01
407,2016-11-03 12:19:19,Both,0.48
408,2016-11-03 12:19:48,Both,0.13
409,2016-11-03 12:30:59,Both,0.18
410,2016-11-03 12:36:02,Both,0.29
411,2016-11-03 12:40:57,Both,0.13
412,2016-11-03 12:42:00,Both,0.13
413,2016-11-03 12:54:40,Both,-0.2
414,2016-11-03 12:59:23,Both,0.21
415,2016-11-03 13:02:45,Both,-0.01
416,2016-11-03 13:05:32,Both,0.12
417,2016-11-03 13:06:26,Both,-0.06
418,2016-11-03 13:09:25,Both,0.01
419,2016-11-03 13:10:48,Both,0.15
420,2016-11-03 13:15:02,Both,0.01
421,2016-11-03 13:16:27,Both,0.1
422,2016-11-03 13:17:06,Both,-0.07
423,2016-11-03 13:18:39,Both,0.08
424,2016-11-03 13:20:37,Both,-0.09
425,2016-11-03 13:22:53,Both,-0.03
426,2016-11-03 13:23:47,Both,-0.08
427,2016-11-03 13:24:57,Both,-0.12
428,2016-11-03 13:26:01,Both,0.02
429,2016-11-03 13:26:43,Both,0.14
430,2016-11-03 13:27:42,Both,-0.12
431,2016-11-03 13:30:48,Both,0.19
432,2016-11-03 13:31:11,Both,0.2
433,2016-11-03 13:31:34,Both,-0.06
434,2016-11-03 13:35:07,Both,0.15
435,2016-11-03 13:39:20,Both,0.16
436,2016-11-03 13:39:32,Both,-0.15
437,2016-11-03 13:44:12,Both,-0.04
438,2016-11-03 13:44:18,Both,0.03
439,2016-11-03 13:47:00,Both,-0.18
440,2016-11-03 13:48:24,Both,0.01
441,2016-11-03 13:54:11,Both,0.06
442,2016-11-03 13:56:41,Both,0.02
443,2016-11-03 14:00:31,Both,-0.12
444,2016-11-03 14:02:33,Both,-0.05
445,2016-11-03 14:02:56,Both,-0.02
446,2016-11-03 14:04:47,Both,-0.06
447,2016-11-03 14:06:46,Both,0.26
448,2016-11-03 14:08:05,Both,-0.06
449,2016-11-03 14:08:58,Both,0.06
450,2016-11-03 14:12:32,Both,-0.08
451,2016-11-03 14:16:02,Both,0.01
452,2016-11-03 14:16:56,Both,0.14
453,2016-11-03 14:21:54,Both,-0.08
454,2016-11-03 14:22:33,Both,0.06
455,2016-11-03 14:32:25,Both,-0.01
456,2016-11-03 14:32:30,Both,0.04
457,2016-11-03 14:32:45,Both,-0.15
458,2016-11-03 14:39:59,Both,0.05
459,2016-11-03 14:41:24,Both,-0.08
460,2016-11-03 14:45:33,Both,0.07
461,2016-11-03 14:49:12,Both,0.18
462,2016-11-03 14:53:26,Both,0.2
463,2016-11-03 14:58:43,Both,0.02
464,2016-11-03 15:14:37,Both,0.26
465,2016-11-03 15:51:50,Both,0.05
466,2016-11-03 15:59:19,Both,0.25
467,2016-11-03 16:01:00,Both,0.44
468,2016-11-03 16:11:19,Both,0.16
469,2016-11-03 16:24:06,Both,0.02
470,2016-11-03 16:25:08,Both,-0.04
471,2016-11-03 16:26:57,Both,-0.21
472,2016-11-03 17:34:53,Both,0.28
473,2016-11-03 17:39:46,Both,0.14
474,2016-11-03 18:09:57,Both,0.04
475,2016-11-03 18:10:25,Both,0.01
476,2016-11-03 21:38:50,Both,-0.03
477,2016-11-03 22:22:40,Both,0.04
478,2016-11-04 00:19:13,Both,-0.1
479,2016-11-04 01:32:50,Both,-0.17
480,2016-11-04 02:18:26,Both,-0.19
481,2016-11-04 02:28:10,Both,-0.06
482,2016-11-04 02:45:05,Both,-0.12
483,2016-11-04 02:56:05,Both,-0.21
484,2016-11-04 02:57:31,Both,-0.23
485,2016-11-04 03:47:33,Both,-0.12
486,2016-11-04 04:14:38,Both,-0.2
487,2016-11-04 04:17:05,Both,-0.28
488,2016-11-04 04:36:36,Both,-0.14
489,2016-11-04 05:18:44,Both,-0.09
490,2016-11-04 05:23:57,Both,-0.1
491,2016-11-04 05:47:19,Both,-0.08
492,2016-11-04 06:17:53,Both,-0.05
493,2016-11-04 06:48:25,Both,-0.01
494,2016-11-04 07:25:22,Both,0.02
495,2016-11-04 08:13:33,Both,-0.12
496,2016-11-04 08:35:52,Both,-0.22
497,2016-11-04 08:55:26,Both,-0.28
498,2016-11-04 08:57:56,Both,-0.18
499,2016-11-04 09:38:55,Both,0.0
500,2016-11-04 10:16:36,Both,0.1
501,2016-11-04 10:58:03,Both,-0.07
502,2016-11-04 11:36:42,Both,0.02
503,2016-11-04 11:59:23,Both,-0.04
504,2016-11-04 12:07:20,Both,-0.08
505,2016-11-04 13:10:18,Both,-0.07
506,2016-11-04 13:42:59,Both,-0.09
507,2016-11-04 13:49:22,Both,-0.06
508,2016-11-04 14:24:19,Both,-0.08
509,2016-11-04 14:28:10,Both,-0.09
510,2016-11-04 15:16:35,Both,-0.1
