,datetime,source,Easting (m),Northing (m),TVD (m),MW,double_flag
208,2016-10-30 08:41:44.036,es,,,,,False
209,2016-10-30 09:30:43.000,srl,3300.0,5050.0,3774.0,0.09,False
210,2016-10-30 09:47:30.624,es,,,,,False
211,2016-10-30 09:50:51.000,srl,3275.0,4993.0,3688.0,0.05,False
212,2016-10-30 10:07:48.500,es,,,,,False
213,2016-10-30 10:11:35.774,es,,,,,False
214,2016-10-30 10:35:50.022,es,,,,,False
215,2016-10-30 10:44:48.000,srl,3400.0,5100.0,3883.0,-0.29,False
216,2016-10-30 11:22:56.644,es,,,,,False
217,2016-10-30 11:23:32.406,es,,,,,False
218,2016-10-30 11:25:51.476,es,,,,,False
219,2016-10-30 12:24:31.170,es,,,,,False
220,2016-10-30 13:05:30.670,es,,,,,False
221,2016-10-30 14:49:03.940,es,,,,,False
222,2016-10-30 14:49:43.000,srl,3300.0,5100.0,3997.0,-0.14,False
223,2016-10-30 16:19:21.226,es,,,,,False
224,2016-10-30 16:47:05.530,es,,,,,False
225,2016-10-30 17:15:33.934,es,,,,,False
226,2016-10-30 19:13:17.604,es,,,,,False
227,2016-10-30 19:59:45.366,es,,,,,False
228,2016-10-30 20:52:06.768,es,,,,,False
229,2016-10-30 22:18:54.878,es,,,,,False
230,2016-10-30 23:02:00.000,srl,3300.0,5050.0,3749.0,0.13,False
231,2016-10-30 23:11:38.514,es,,,,,False
232,2016-10-30 23:15:12.072,es,,,,,False
233,2016-10-30 23:15:14.072,es,,,,,False
234,2016-10-30 23:15:28.064,es,,,,,False
235,2016-10-31 00:17:19.124,es,,,,,False
236,2016-10-31 01:28:13.528,es,,,,,False
237,2016-10-31 01:28:39.896,es,,,,,False
238,2016-10-31 01:29:21.380,es,,,,,False
239,2016-10-31 01:40:50.140,es,,,,,False
240,2016-10-31 01:44:07.674,es,,,,,False
241,2016-10-31 01:44:42.776,es,,,,,False
242,2016-10-31 01:48:07.000,srl,3400.0,5100.0,4039.0,-0.3,False
243,2016-10-31 01:48:17.718,es,,,,,False
244,2016-10-31 01:57:14.978,es,,,,,False
245,2016-10-31 02:32:24.992,es,,,,,False
246,2016-10-31 02:40:49.504,es,,,,,False
247,2016-10-31 03:29:57.378,es,,,,,False
248,2016-10-31 05:12:11.432,es,,,,,False
249,2016-10-31 05:45:43.966,es,,,,,False
250,2016-10-31 06:13:31.596,es,,,,,False
251,2016-10-31 06:14:03.122,es,,,,,False
252,2016-10-31 06:15:33.170,es,,,,,False
253,2016-10-31 06:18:34.546,es,,,,,False
254,2016-10-31 07:15:30.664,es,,,,,False
255,2016-10-31 07:17:23.898,es,,,,,False
256,2016-10-31 09:00:07.000,srl,3300.0,5050.0,3739.0,-0.08,False
257,2016-10-31 10:47:46.282,es,,,,,False
