,datetime,source,Easting (m),Northing (m),TVD (m),MW,double_flag
221,2016-10-31 02:55:12.058,es,,,,,True
222,2016-10-31 03:29:39.000,srl,3301.0,4914.0,3525.0,-0.13,True
223,2016-10-31 03:29:39.862,es,,,,,True
224,2016-10-31 08:44:07.000,srl,3241.0,4939.0,3574.0,-0.1,True
225,2016-10-31 08:44:07.870,es,,,,,True
226,2016-10-31 16:24:13.932,es,,,,,True
227,2016-10-31 16:24:14.000,srl,3246.0,4944.0,3582.0,-0.16,True
228,2016-10-31 19:07:53.000,srl,3326.0,4929.0,3554.0,-0.14,True
229,2016-10-31 19:07:53.632,es,,,,,True
230,2016-10-31 19:31:38.938,es,,,,,True
231,2016-10-31 19:31:39.000,srl,3261.0,4939.0,3567.0,-0.14,True
232,2016-10-31 19:32:34.000,srl,3251.0,4949.0,3562.0,0.22,True
233,2016-10-31 19:32:34.168,es,,,,,True
234,2016-10-31 23:32:29.958,es,,,,,True
235,2016-10-31 23:32:30.000,srl,3251.0,4939.0,3566.0,0.17,True
236,2016-11-01 07:44:31.000,srl,2768.0,4202.0,3818.0,-0.18,True
237,2016-11-01 07:44:31.112,es,,,,,True
238,2016-11-01 09:05:25.000,srl,2803.0,4202.0,3479.0,0.02,True
239,2016-11-01 09:05:25.382,es,,,,,True
240,2016-11-01 09:15:25.000,srl,2863.0,4167.0,3369.0,0.12,True
241,2016-11-01 09:15:25.978,es,,,,,True
242,2016-11-01 09:24:29.000,srl,2863.0,4167.0,3383.0,0.11,True
243,2016-11-01 09:24:30.128,es,,,,,True
244,2016-11-01 09:36:44.000,srl,2793.0,4177.0,3517.0,0.1,True
245,2016-11-01 09:36:44.048,es,,,,,True
246,2016-11-01 09:42:45.000,srl,2831.0,4193.0,3395.0,0.06,True
247,2016-11-01 09:42:45.726,es,,,,,True
248,2016-11-01 09:43:25.000,srl,2867.0,4201.0,3303.0,0.04,True
249,2016-11-01 09:43:26.128,es,,,,,True
250,2016-11-01 09:45:23.000,srl,2853.0,4152.0,3302.0,0.26,True
251,2016-11-01 09:45:23.424,es,,,,,True
252,2016-11-01 10:01:28.000,srl,2858.0,4157.0,3398.0,0.08,True
253,2016-11-01 10:01:29.184,es,,,,,True
254,2016-11-01 10:07:14.000,srl,2828.0,4127.0,3240.0,-0.04,True
255,2016-11-01 10:07:14.534,es,,,,,True
256,2016-11-01 10:09:30.000,srl,2843.0,4157.0,3359.0,0.02,True
257,2016-11-01 10:09:30.292,es,,,,,True
258,2016-11-01 10:22:03.000,srl,2798.0,4187.0,5017.0,0.1,True
259,2016-11-01 10:22:03.386,es,,,,,True
260,2016-11-01 10:28:32.000,srl,2853.0,4167.0,3344.0,0.23,True
261,2016-11-01 10:28:32.370,es,,,,,True
262,2016-11-01 10:37:53.000,srl,2803.0,4202.0,3491.0,-0.05,True
263,2016-11-01 10:37:53.718,es,,,,,True
264,2016-11-01 10:48:04.000,srl,2793.0,4192.0,3490.0,0.32,True
265,2016-11-01 10:48:04.164,es,,,,,True
266,2016-11-01 10:57:17.000,srl,2778.0,4167.0,3528.0,-0.02,True
267,2016-11-01 10:57:17.746,es,,,,,True
268,2016-11-01 11:03:54.000,srl,2892.0,4176.0,3403.0,0.23,True
269,2016-11-01 11:03:54.832,es,,,,,True
270,2016-11-01 11:07:32.000,srl,2858.0,4152.0,3354.0,0.14,True
271,2016-11-01 11:07:32.360,es,,,,,True
272,2016-11-01 11:14:08.000,srl,2853.0,4142.0,3395.0,0.07,True
273,2016-11-01 11:14:08.516,es,,,,,True
274,2016-11-01 11:29:11.000,srl,2848.0,4147.0,3423.0,0.03,True
275,2016-11-01 11:29:11.992,es,,,,,True
276,2016-11-01 11:44:56.000,srl,2868.0,4167.0,3338.0,0.31,True
277,2016-11-01 11:44:57.134,es,,,,,True
278,2016-11-01 11:59:17.000,srl,2793.0,4167.0,3519.0,0.06,True
279,2016-11-01 11:59:17.066,es,,,,,True
280,2016-11-01 12:12:04.000,srl,2828.0,4102.0,3410.0,-0.13,True
281,2016-11-01 12:12:04.954,es,,,,,True
282,2016-11-01 12:14:51.000,srl,2803.0,4192.0,3438.0,0.27,True
283,2016-11-01 12:14:51.446,es,,,,,True
284,2016-11-01 12:16:38.000,srl,2838.0,4118.0,3500.0,-0.01,True
285,2016-11-01 12:16:38.990,es,,,,,True
286,2016-11-01 12:20:00.000,srl,2828.0,4093.0,3355.0,-0.11,True
287,2016-11-01 12:20:01.046,es,,,,,True
288,2016-11-01 12:24:32.000,srl,2823.0,4092.0,3398.0,-0.09,True
289,2016-11-01 12:24:33.040,es,,,,,True
290,2016-11-01 12:26:24.000,srl,2833.0,4093.0,3458.0,-0.08,True
291,2016-11-01 12:26:24.416,es,,,,,True
292,2016-11-01 12:30:53.000,srl,2868.0,4177.0,3388.0,0.16,True
293,2016-11-01 12:30:53.602,es,,,,,True
294,2016-11-01 12:32:16.000,srl,2828.0,4083.0,3424.0,-0.01,True
295,2016-11-01 12:32:16.976,es,,,,,True
296,2016-11-01 12:35:44.000,srl,2828.0,4102.0,3418.0,-0.03,True
297,2016-11-01 12:35:44.444,es,,,,,True
298,2016-11-01 12:36:25.000,srl,2828.0,4082.0,3233.0,-0.17,True
299,2016-11-01 12:36:25.428,es,,,,,True
300,2016-11-01 12:40:39.000,srl,2818.0,4103.0,3379.0,-0.2,True
301,2016-11-01 12:40:39.978,es,,,,,True
302,2016-11-01 12:48:01.000,srl,2773.0,4172.0,3363.0,-0.05,True
303,2016-11-01 12:48:01.184,es,,,,,True
304,2016-11-01 13:30:18.000,srl,2793.0,4182.0,3504.0,-0.02,True
305,2016-11-01 13:30:18.642,es,,,,,True
306,2016-11-01 13:31:19.000,srl,2843.0,4092.0,3419.0,-0.04,True
307,2016-11-01 13:31:19.860,es,,,,,True
308,2016-11-01 13:36:03.000,srl,2793.0,4167.0,3467.0,0.06,True
309,2016-11-01 13:36:03.138,es,,,,,True
310,2016-11-01 13:53:24.000,srl,2853.0,4137.0,4929.0,-0.04,True
311,2016-11-01 13:53:24.470,es,,,,,True
312,2016-11-01 13:56:06.000,srl,2915.0,3997.0,3283.0,-0.04,True
313,2016-11-01 13:56:06.812,es,,,,,True
314,2016-11-01 13:57:31.000,srl,2843.0,4127.0,3422.0,0.02,True
315,2016-11-01 13:57:32.086,es,,,,,True
316,2016-11-01 13:57:39.000,srl,2853.0,4167.0,3369.0,-0.02,True
317,2016-11-01 13:57:39.542,es,,,,,True
318,2016-11-01 13:58:13.000,srl,2833.0,4152.0,3399.0,-0.14,True
319,2016-11-01 13:58:14.024,es,,,,,True
320,2016-11-01 14:04:25.000,srl,2858.0,4152.0,3345.0,0.39,True
321,2016-11-01 14:04:25.802,es,,,,,True
322,2016-11-01 14:15:54.000,srl,2783.0,4177.0,3519.0,0.05,True
323,2016-11-01 14:15:54.316,es,,,,,True
324,2016-11-01 14:29:59.000,srl,2816.0,4163.0,3080.0,0.06,True
325,2016-11-01 14:29:59.750,es,,,,,True
326,2016-11-01 14:37:14.000,srl,2853.0,4152.0,3370.0,0.31,True
327,2016-11-01 14:37:14.334,es,,,,,True
328,2016-11-01 14:41:10.000,srl,2863.0,4167.0,3359.0,0.12,True
329,2016-11-01 14:41:10.216,es,,,,,True
330,2016-11-01 14:42:16.000,srl,2778.0,4152.0,3505.0,0.19,True
331,2016-11-01 14:42:16.286,es,,,,,True
332,2016-11-01 14:51:50.000,srl,2788.0,4162.0,3488.0,0.0,True
333,2016-11-01 14:51:50.858,es,,,,,True
334,2016-11-01 14:54:14.000,srl,2853.0,4142.0,3360.0,0.33,True
335,2016-11-01 14:54:14.260,es,,,,,True
336,2016-11-01 15:01:30.000,srl,2843.0,4142.0,3384.0,0.23,True
337,2016-11-01 15:01:30.888,es,,,,,True
338,2016-11-01 15:02:36.000,srl,2798.0,4147.0,3497.0,-0.02,True
339,2016-11-01 15:02:36.612,es,,,,,True
340,2016-11-01 15:08:15.000,srl,2853.0,4167.0,3374.0,0.41,True
341,2016-11-01 15:08:15.696,es,,,,,True
342,2016-11-01 15:15:53.000,srl,2853.0,4157.0,3363.0,0.15,True
343,2016-11-01 15:15:53.926,es,,,,,True
344,2016-11-01 15:18:06.000,srl,2793.0,4127.0,3580.0,-0.24,True
345,2016-11-01 15:18:06.060,es,,,,,True
346,2016-11-01 15:22:23.000,srl,2868.0,4167.0,3379.0,0.19,True
347,2016-11-01 15:22:23.676,es,,,,,True
348,2016-11-01 15:27:13.000,srl,2843.0,4142.0,3360.0,0.37,True
349,2016-11-01 15:27:13.970,es,,,,,True
350,2016-11-01 15:31:55.000,srl,2813.0,4207.0,3493.0,-0.01,True
351,2016-11-01 15:31:55.842,es,,,,,True
352,2016-11-01 15:33:00.000,srl,2850.0,4100.0,2522.0,-0.02,True
353,2016-11-01 15:33:00.724,es,,,,,True
354,2016-11-01 15:42:39.000,srl,2788.0,4162.0,3498.0,0.33,True
355,2016-11-01 15:42:39.926,es,,,,,True
356,2016-11-01 15:44:01.000,srl,2853.0,4132.0,3398.0,-0.08,True
357,2016-11-01 15:44:01.846,es,,,,,True
